date,number3,number4
1994-10-07,191,1149
1994-10-14,988,7921
1994-10-21,194,0097
1994-10-28,105,0171
1994-11-04,592,0265
1994-11-11,792,5482
1994-11-18,708,3950
1994-11-25,234,7507
1994-12-02,243,2664
1994-12-09,340,2436
1994-12-16,326,0254
1994-12-23,247,9722
1994-12-30,229,4673
1995-01-06,743,1409
1995-01-10,019,6419
1995-01-13,179,0524
1995-01-17,475,8697
1995-01-20,291,3062
1995-01-24,852,1013
1995-01-27,502,2264
1995-01-31,558,3825
1995-02-03,951,7059
1995-02-07,912,0283
1995-02-10,039,2321
1995-02-14,458,4556
1995-02-17,984,3360
1995-02-21,917,4908
1995-02-24,789,3466
1995-02-28,589,2061
1995-03-03,725,7566
1995-03-07,073,4830
1995-03-10,547,4575
1995-03-14,063,5819
1995-03-17,634,7521
1995-03-21,333,4703
1995-03-24,405,9776
1995-03-28,168,6941
1995-03-31,389,8634
1995-04-04,587,5560
1995-04-07,304,5584
1995-04-11,048,0228
1995-04-14,228,9875
1995-04-18,922,5031
1995-04-21,697,4742
1995-04-25,970,5543
1995-04-28,298,9476
1995-05-02,989,9125
1995-05-05,202,5074
1995-05-09,476,6910
1995-05-12,042,0021
1995-05-16,802,7598
1995-05-19,717,5053
1995-05-23,889,9040
1995-05-26,226,3895
1995-05-30,728,6780
1995-06-02,929,9981
1995-06-06,836,1398
1995-06-09,383,3042
1995-06-13,410,8885
1995-06-16,980,6373
1995-06-20,542,7882
1995-06-23,725,5608
1995-06-27,251,9123
1995-06-30,260,8844
1995-07-04,588,9819
1995-07-07,512,2098
1995-07-11,512,4881
1995-07-14,750,4214
1995-07-18,902,2792
1995-07-21,963,5094
1995-07-25,661,0948
1995-07-28,879,0084
1995-08-01,452,2341
1995-08-04,174,3011
1995-08-08,283,2332
1995-08-11,238,5531
1995-08-15,972,6406
1995-08-18,241,6536
1995-08-22,310,1742
1995-08-25,882,0437
1995-08-29,269,3503
1995-09-01,144,1770
1995-09-05,174,9047
1995-09-08,882,6580
1995-09-12,307,2624
1995-09-15,864,0684
1995-09-19,370,7676
1995-09-22,739,2562
1995-09-26,697,1614
1995-09-29,689,7696
1995-10-03,168,0330
1995-10-06,957,8721
1995-10-10,910,9056
1995-10-13,933,8526
1995-10-17,306,6282
1995-10-20,944,6992
1995-10-24,988,2866
1995-10-27,562,4943
1995-10-31,571,2072
1995-11-03,899,5614
1995-11-07,945,1471
1995-11-10,560,4036
1995-11-14,824,8050
1995-11-17,610,2958
1995-11-21,619,6204
1995-11-24,086,9063
1995-11-28,082,0539
1995-12-01,254,9852
1995-12-05,191,3593
1995-12-08,385,1697
1995-12-12,056,8011
1995-12-15,167,4191
1995-12-19,744,9163
1995-12-22,205,3943
1995-12-26,770,4101
1995-12-29,366,7410
1996-01-05,952,2689
1996-01-09,635,7435
1996-01-12,952,3010
1996-01-16,650,3583
1996-01-19,439,2645
1996-01-23,458,8578
1996-01-26,513,1165
1996-01-30,863,0942
1996-02-02,409,5762
1996-02-06,318,6577
1996-02-09,217,9054
1996-02-13,855,3315
1996-02-16,620,9846
1996-02-20,559,4092
1996-02-23,820,8831
1996-02-27,016,5566
1996-03-01,926,5660
1996-03-05,603,6890
1996-03-08,454,3409
1996-03-12,295,4023
1996-03-15,819,9017
1996-03-19,995,4073
1996-03-22,356,7871
1996-03-26,054,1099
1996-03-29,783,2139
1996-04-02,077,2516
1996-04-05,694,3752
1996-04-09,594,4681
1996-04-12,125,8567
1996-04-16,766,2115
1996-04-19,464,2209
1996-04-23,489,6901
1996-04-26,003,7707
1996-04-30,538,5825
1996-05-03,332,3056
1996-05-07,224,0225
1996-05-10,750,5468
1996-05-14,791,1470
1996-05-17,126,0171
1996-05-21,991,8957
1996-05-24,570,9254
1996-05-28,604,2579
1996-05-31,259,4034
1996-06-04,839,5741
1996-06-07,284,6627
1996-06-11,516,3588
1996-06-14,648,2207
1996-06-18,198,5492
1996-06-21,563,8090
1996-06-25,331,0007
1996-06-28,233,8092
